Día,Damage Promedio,Densidad Promedio,Fracción de Volumen Promedio,Energia de Deformacion,Modulo de elasticidad promedio,% de Cenizas alpha,Promedios densida tejido
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.125062679274151e-10,1.5014484581587568,0.6788181400847637,215.24785384576145,9939951.68419345,0.6215943489999999,2.21185671021
3,1.7336820867797087e-09,1.5014484575019529,0.678818139787817,212.78478550571506,9939951.673049016,0.6215943489999999,2.21185671021
4,3.2664413396332748e-09,1.5014484566039237,0.6788181393818099,209.30579497644578,9939951.657813463,0.6215943489999999,2.21185671021
5,5.120762258670197e-09,1.5014484555173158,0.6788181388905448,205.0748241087044,9939951.639381602,0.6215943489999999,2.21185671021
6,7.213522335014488e-09,1.501448454290748,0.6788181383360028,200.33787320705542,9939951.618579669,0.6215943489999999,2.21185671021
7,9.468461237283066e-09,1.5014484529688434,0.678818137738358,195.30213461383002,9939951.596165685,0.6215943489999999,2.21185671021
8,1.181616537948571e-08,1.5014484515922433,0.6788181371159849,190.13111944540995,9939951.572829619,0.6215943489999999,2.21185671021
9,1.4194067032846647e-08,1.5014484501976055,0.6788181364854569,184.94764274866353,9939951.549193392,0.6215943489999999,2.21185671021
10,1.6546454761900975e-08,1.5014484488175999,0.678818135861544,179.84001761203731,9939951.52581077,0.6215943489999999,2.21185671021
11,1.8824489855795434e-08,1.50144844748089,0.6788181352572057,174.8689624211725,9939951.503167212,0.6215943489999999,2.21185671021
12,2.0986224091856798e-08,1.50144844621212,0.6788181346835837,170.0740056653615,9939951.481679678,0.6215943489999999,2.21185671021
13,2.299662127391855e-08,1.5014484450318946,0.6788181341499934,165.47890141631066,9939951.461696427,0.6215943489999999,2.21185671021
14,2.4827574773844674e-08,1.501448443956766,0.678818133663918,161.09595959002962,9939951.443496838,0.6215943489999999,2.21185671021
15,2.6457928292700217e-08,1.5014484429992137,0.6788181332310002,156.92939196536642,9939951.427291203,0.6215943489999999,2.21185671021
16,2.7873491070806722e-08,1.5014484421676324,0.6788181328550349,152.9778223082612,9939951.413220577,0.6215943489999999,2.21185671021
17,2.9067055207221415e-08,1.5014484414663176,0.6788181325379642,149.23613535914262,9939951.401356608,0.6215943489999999,2.21185671021
18,3.003840853832429e-08,1.5014484408954525,0.6788181322798711,145.69681778586667,9939951.391701402,0.6215943489999999,2.21185671021
